,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14
E1,x,4.3,9,14.7,17.2,13.1,11.8,11.3,8.2,10.7,8.4,14.1,18.5,17.3
E2,4.3,x,5.3,10.3,13.1,12.7,10.3,6.9,4.3,7.4,5.9,11.3,14.8,12.9
E3,9,5.3,x,5.9,8.5,10.9,7.7,4.1,6.5,8.9,9.4,14.5,13.9,10.3
E4,14.7,10.3,5.9,x,2.9,15,12.7,4,9.1,9.7,12.2,14.7,10.6,6
E5,17.2,13.1,8.5,2.9,x,16,12.3,7,12,15.3,14.8,17.3,12.7,6.9
E6,13.1,12.7,10.9,15,16,x,3.2,15.1,16.5,18.5,19,24.3,25.2,21.1
E7,11.8,10.3,7.7,12.7,12.3,3.2,x,12,13.3,16.4,16,22.2,22.6,17.1
E8,11.3,6.9,4.1,4,7,15.1,12,x,5,5.6,7.9,12.4,9.8,6.4
E9,8.2,4.3,6.5,9.1,12,16.5,13.3,5,x,3,3.4,8.1,10.9,9.6
E10,10.7,7.4,8.9,9.7,15.3,18.5,16.4,5.6,3,x,3.4,5.6,7.7,8.4
E11,8.4,5.9,9.4,12.2,14.8,19,16,7.9,3.4,3.4,x,5.9,11.2,12.7
E12,14.1,11.3,14.5,14.7,17.3,24.3,22.2,12.4,8.1,5.6,5.9,x,8.6,12.3
E13,18.5,14.8,13.9,10.6,12.7,25.2,22.6,9.8,10.9,7.7,11.2,8.6,x,6.1
E14,17.3,12.9,10.3,6,6.9,21.1,17.1,6.4,9.6,8.4,12.7,12.3,6.1,x